TF	MotifName	Length	ConsensusScore
ZNF816	MA1719.1	18	2.533271e+01
ZNF85	MA1720.1	16	2.238012e+01
ZNF93	MA1721.1	16	2.433772e+01
ZSCAN31	MA1722.1	19	3.114253e+01
PRDM9	MA1723.1	24	2.848677e+01
Rfx6	MA1724.1	13	1.785619e+01
ASCL1	MA1631.1	13	1.675715e+01
ATF2	MA1632.1	13	1.828005e+01
BATF	MA1634.1	11	1.578499e+01
BHLHE22	MA1635.1	10	1.388392e+01
CEBPG	MA1636.1	15	2.020200e+01
EBF3	MA1637.1	13	1.781642e+01
HAND2	MA1638.1	10	1.345334e+01
MEIS1	MA1639.1	13	1.706840e+01
MEIS2	MA1640.1	15	1.904496e+01
MYF5	MA1641.1	12	1.563023e+01
NEUROG2	MA1642.1	13	1.551731e+01
NFIB	MA1643.1	21	2.796177e+01
NFYC	MA1644.1	11	1.557363e+01
NKX2-2	MA1645.1	14	1.604118e+01
OSR2	MA1646.1	12	1.516215e+01
TCF12	MA1648.1	11	1.400142e+01
ZBTB12	MA1649.1	11	1.445472e+01
ZBTB14	MA1650.1	12	1.756892e+01
ZFP42	MA1651.1	21	2.411777e+01
ZKSCAN5	MA1652.1	14	1.892163e+01
ZNF148	MA1653.1	12	1.903265e+01
ZNF16	MA1654.1	23	3.637253e+01
ZNF341	MA1655.1	12	1.590326e+01
ZNF449	MA1656.1	14	1.897296e+01
ZNF652	MA1657.1	12	1.793751e+01
FOXA3	MA1683.1	11	1.458584e+01
ZNF189	MA1725.1	13	1.807895e+01
ZNF331	MA1726.1	14	2.023635e+01
ZNF417	MA1727.1	15	1.884735e+01
ZNF549	MA1728.1	12	1.641557e+01
ZNF680	MA1729.1	15	2.323014e+01
ZNF708	MA1730.1	15	2.115110e+01
ZNF768	MA1731.1	18	2.270744e+01
ATF4	MA0833.2	14	2.005673e+01
BATF3	MA0835.2	11	1.639766e+01
CDX2	MA0465.2	12	1.682518e+01
CEBPA	MA0102.4	14	1.891070e+01
CEBPD	MA0836.2	13	1.752473e+01
CREB1	MA0018.4	13	1.657030e+01
CTCFL	MA1102.2	12	1.765726e+01
E2F6	MA0471.2	13	1.729346e+01
EBF1	MA0154.4	15	2.001503e+01
EGR1	MA0162.4	14	1.952508e+01
EHF	MA0598.3	15	1.903415e+01
ELF1	MA0473.3	14	1.889028e+01
ELF3	MA0640.2	14	1.806103e+01
ESRRA	MA0592.3	13	1.832647e+01
ETV1	MA0761.2	14	1.803308e+01
